Target,Doses,Model,Env,Frame,Sample Size,Value
0.25,3,MCA (delta=0.2),0.1,3,12,50.1
0.25,3,MCA (delta=0.2),0.1,4,15,54
0.25,3,MCA (delta=0.2),0.1,5,18,54.3
0.25,3,MCA (delta=0.2),0.1,6,21,56.1
0.25,3,MCA (delta=0.2),0.1,7,24,57.1
0.25,3,MCA (delta=0.2),0.1,8,27,57.6
0.25,3,MCA (delta=0.2),0.1,9,30,57.2
0.25,3,MCA (delta=0.2),0.1,10,33,58.8
0.25,3,MCA (delta=0.2),0.1,11,36,58.6
0.25,3,MCA (delta=0.2),0.1,12,39,59.3
0.25,3,MCA (delta=0.2),0.1,13,42,59.3
0.25,3,MCA (delta=0.2),0.1,14,45,60
0.25,3,MCA (delta=0.2),0.1,15,48,61
0.25,3,MCA (delta=0.2),0.1,16,51,60.6
0.25,3,MCA (delta=0.2),0.1,17,54,61.4
0.25,3,MCA (delta=0.2),0.1,18,57,62
0.25,3,MCA (delta=0.2),0.1,19,60,62.3
0.25,3,MCA (delta=0.2),0.15,0,3,46.6
0.25,3,MCA (delta=0.2),0.15,1,6,53.9
0.25,3,MCA (delta=0.2),0.15,2,9,57.8
0.25,3,MCA (delta=0.2),0.15,3,12,58.9
0.25,3,MCA (delta=0.2),0.15,4,15,62.5
0.25,3,MCA (delta=0.2),0.15,5,18,63.4
0.25,3,MCA (delta=0.2),0.15,6,21,65.6
0.25,3,MCA (delta=0.2),0.15,7,24,66.2
0.25,3,MCA (delta=0.2),0.15,8,27,66.9
0.25,3,MCA (delta=0.2),0.15,9,30,69.1
0.25,3,MCA (delta=0.2),0.15,10,33,69.7
0.25,3,MCA (delta=0.2),0.15,11,36,70.6
0.25,3,MCA (delta=0.2),0.15,12,39,71.4
0.25,3,MCA (delta=0.2),0.15,13,42,71.5
0.25,3,MCA (delta=0.2),0.15,14,45,71.8
0.25,3,MCA (delta=0.2),0.15,15,48,72.1
0.25,3,MCA (delta=0.2),0.15,16,51,72.5
0.25,3,MCA (delta=0.2),0.15,17,54,73.1
0.25,3,MCA (delta=0.2),0.15,18,57,73.4
0.25,3,MCA (delta=0.2),0.15,19,60,73
0.25,3,MCA (random delta),0.05,0,3,39.2
0.25,3,MCA (random delta),0.05,1,6,39.9
0.25,3,MCA (random delta),0.05,2,9,40.2
0.25,3,MCA (random delta),0.05,3,12,41.2
